,date,total_commute
907,2020-06-26,6230
908,2020-06-27,1800
909,2020-06-28,2620
910,2020-06-29,3190
911,2020-06-30,3555
912,2020-07-01,3650
913,2020-07-02,4300
914,2020-07-03,3370
915,2020-07-04,640
916,2020-07-05,380
917,2020-07-06,3050
918,2020-07-07,5335
919,2020-07-08,1430
920,2020-07-09,1705
921,2020-07-10,1930
922,2020-07-11,2315
923,2020-07-12,2655
924,2020-07-13,4345
925,2020-07-14,3080
926,2020-07-15,4825
927,2020-07-16,3190
928,2020-07-17,3165
929,2020-07-18,2935
930,2020-07-19,2290
931,2020-07-20,3985
932,2020-07-21,5595
933,2020-07-22,4935
934,2020-07-23,4270
935,2020-07-24,3305
936,2020-07-25,1545
937,2020-07-26,2020
938,2020-07-27,3940
939,2020-07-28,4075
940,2020-07-29,3245
941,2020-07-30,5320
942,2020-07-31,5420
943,2020-08-01,2445
944,2020-08-02,2870
945,2020-08-03,2580
946,2020-08-04,5005
947,2020-08-05,4390
948,2020-08-06,3670
949,2020-08-07,4305
950,2020-08-08,2230
951,2020-08-09,2595
952,2020-08-10,4055
953,2020-08-11,4460
954,2020-08-12,3945
955,2020-08-13,4260
956,2020-08-14,3510
957,2020-08-15,2425
958,2020-08-16,1810
959,2020-08-17,3930
960,2020-08-18,4900
961,2020-08-19,6155
962,2020-08-20,5125
963,2020-08-21,4520
964,2020-08-22,965
965,2020-08-23,1275
966,2020-08-24,3400
967,2020-08-25,3095
968,2020-08-26,1420
969,2020-08-27,4910
970,2020-08-28,2270
971,2020-08-29,1290
972,2020-08-30,1640
973,2020-08-31,4985
974,2020-09-01,5390
975,2020-09-02,5940
976,2020-09-03,1365
977,2020-09-04,3980
978,2020-09-05,1770
979,2020-09-06,1765
980,2020-09-07,5145
981,2020-09-08,4550
982,2020-09-09,4460
983,2020-09-10,5415
984,2020-09-11,4910
985,2020-09-12,1655
986,2020-09-13,1935
987,2020-09-14,5790
988,2020-09-15,7385
989,2020-09-16,5185
990,2020-09-17,5055
991,2020-09-18,4885
992,2020-09-19,3120
993,2020-09-20,1970
994,2020-09-21,3985
995,2020-09-22,6110
996,2020-09-23,4115
997,2020-09-24,3190
998,2020-09-25,1600
999,2020-09-26,1730
1000,2020-09-27,370
1001,2020-09-28,2530
1002,2020-09-29,3725
1003,2020-09-30,2695
1004,2020-10-01,1435
1005,2020-10-02,2445
1006,2020-10-03,280
1007,2020-10-04,220
1008,2020-10-05,1160
1009,2020-10-06,1540
1010,2020-10-07,1370
1011,2020-10-08,425
1012,2020-10-09,2465
1013,2020-10-10,935
1014,2020-10-11,495
1015,2020-10-12,2875
1016,2020-10-13,3245
1017,2020-10-14,1895
1018,2020-10-15,2440
1019,2020-10-16,1755
1020,2020-10-17,1400
1021,2020-10-18,1055
1022,2020-10-19,3135
1023,2020-10-20,1905
1024,2020-10-21,1315
